,menu_price,votes,average_cost_for_two,restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,cuisine,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,rating,menu_category,item_name,price_range_cat
6348,-0.18037307124507507,1.9204407955169045,7.0909098220799835,18235515,,1,,,,,,,1,0,0,0,3,3.9,,,3
6349,-0.18037307124507507,0.5044493999264674,5.017279836814924,7306,,1,,,,,,,0,0,0,0,1,3.4,,,1
6350,-0.18037307124507507,0.7167404200645531,6.68586094706836,2200030,,1,,,,,,,0,0,0,0,3,3.4,,,3
6351,-0.18037307124507507,0.8181575234061369,6.2166061010848646,304187,,1,,,,,,,0,0,0,0,2,3.3,,,2
6352,-0.18037307124507507,1.5632611497842874,6.68586094706836,18070486,,1,,,,,,,0,1,0,0,2,4.1,,,2
6353,-0.18037307124507507,2.262441380945508,6.68586094706836,4825,,1,,,,,,,0,1,0,0,2,3.9,,,2
6354,-0.18037307124507507,0.6338641094713946,6.2166061010848646,3300369,,1,,,,,,,0,1,0,0,2,4.0,,,2
6355,-0.18037307124507507,0.005887571046016191,5.860786223465865,308101,,1,,,,,,,0,0,0,0,1,3.3,,,1
6356,-0.18037307124507507,-0.28485861465821477,5.860786223465865,18365391,,1,,,,,,,0,0,0,0,1,3.3,,,1
6357,-0.18037307124507507,1.053920351643541,7.496097345175956,18357940,,1,,,,,,,1,1,0,0,3,4.7,,,3
6358,-0.18037307124507507,0.12530034731014114,5.5254529391317835,18245286,,1,,,,,,,0,0,0,0,1,3.2,,,1
6359,-0.18037307124507507,-0.6872447404268912,5.707110264748875,18291240,,1,,,,,,,0,0,0,0,1,2.8,,,1
6360,-0.18037307124507507,-0.08674667527302724,5.5254529391317835,300066,,1,,,,,,,0,1,0,0,1,3.2,,,1
6361,-0.18037307124507507,0.8529576962769922,3.9318256327243257,7100087,,148,,,,,,,0,0,0,0,3,4.4,,,3
6362,-0.18037307124507507,-0.6872447404268912,5.303304908059076,5412,,1,,,,,,,0,0,0,0,1,3.0,,,1
6363,-0.18037307124507507,-1.6263530336474072,5.303304908059076,18459030,,1,,,,,,,0,0,0,0,1,1.0,,,1
6364,-0.18037307124507507,-1.6263530336474072,5.303304908059076,18431175,,1,,,,,,,0,0,0,0,1,1.0,,,1
6365,-0.18037307124507507,2.075411208411043,7.601402334583733,8893,,1,,,,,,,1,1,0,0,4,3.9,,,4
6366,-0.18037307124507507,1.791044991204146,7.601402334583733,307309,,1,,,,,,,1,1,0,0,4,3.8,,,4
6367,-0.18037307124507507,1.2394390259724197,5.303304908059076,3338,,1,,,,,,,0,0,0,0,1,4.1,,,1
6368,-0.18037307124507507,1.0090792926903136,7.0909098220799835,3000126,,1,,,,,,,0,0,0,0,3,3.8,,,3
6369,-0.18037307124507507,1.2774151811599377,6.398594934535208,311345,,1,,,,,,,0,1,0,0,2,3.9,,,2
6370,-0.18037307124507507,0.8620413101807581,6.398594934535208,18365994,,1,,,,,,,0,1,0,0,2,3.9,,,2
6371,-0.18037307124507507,-1.0975424988905969,4.61512051684126,8169,,1,,,,,,,0,0,0,0,1,1.0,,,1
6372,-0.18037307124507507,-1.6263530336474072,5.5254529391317835,18396426,,1,,,,,,,0,0,0,0,1,1.0,,,1
6373,-0.18037307124507507,2.182516823928411,4.61512051684126,17060869,,216,,,,,,,0,0,0,0,4,4.6,,,4
6374,-0.18037307124507507,-0.9584750617626369,5.993961427306569,3555,,1,,,,,,,0,0,0,0,1,1.0,,,1
6375,-0.18037307124507507,-0.8504358192160233,5.303304908059076,18311942,,1,,,,,,,0,0,0,0,1,2.9,,,1
6376,-0.18037307124507507,1.8989059441371432,3.258096538021482,17096140,,216,,,,,,,0,0,0,0,2,4.6,,,2
6377,-0.18037307124507507,0.8768220109466786,7.496097345175956,18157416,,1,,,,,,,1,1,0,0,3,4.0,,,3
6378,-0.18037307124507507,-0.7620508193744011,5.303304908059076,9141,,1,,,,,,,0,0,0,0,1,2.9,,,1
6379,-0.18037307124507507,1.2903090196643436,5.8888779583328805,6502857,,189,,,,,,,0,0,0,0,4,3.8,,,4
6380,-0.18037307124507507,-0.9584750617626369,5.707110264748875,18466980,,1,,,,,,,0,0,0,0,1,1.0,,,1
6381,-0.18037307124507507,-1.6263530336474072,5.303304908059076,18491387,,1,,,,,,,0,0,0,0,1,1.0,,,1
6382,-0.18037307124507507,0.7167404200645531,5.993961427306569,1158,,1,,,,,,,0,1,0,0,1,3.9,,,1
6383,-0.18037307124507507,0.2924138786693117,5.993961427306569,3793,,1,,,,,,,0,1,0,0,1,3.2,,,1
6384,-0.18037307124507507,-0.38612029856505203,5.993961427306569,18204823,,1,,,,,,,0,0,0,0,1,3.0,,,1
6385,-0.18037307124507507,0.12530034731014114,5.993961427306569,5862,,1,,,,,,,0,1,0,0,1,3.1,,,1
6386,-0.18037307124507507,0.1635515840087239,5.993961427306569,5784,,1,,,,,,,0,0,0,0,1,3.3,,,1
6387,-0.18037307124507507,0.2924138786693117,5.993961427306569,4563,,1,,,,,,,0,0,0,0,1,3.9,,,1
6388,-0.18037307124507507,0.08383370880235524,5.993961427306569,8845,,1,,,,,,,0,0,0,0,1,3.5,,,1
6389,-0.18037307124507507,-0.9584750617626369,5.993961427306569,313073,,1,,,,,,,0,0,0,0,1,1.0,,,1
6390,-0.18037307124507507,0.8014977384878265,5.993961427306569,5726,,1,,,,,,,0,1,0,0,1,3.7,,,1
6391,-0.18037307124507507,0.15112757637457397,5.993961427306569,306405,,1,,,,,,,0,1,0,0,1,3.4,,,1
6392,-0.18037307124507507,0.8709622474784661,5.993961427306569,2267,,1,,,,,,,0,1,0,0,1,3.8,,,1
6393,-0.18037307124507507,0.5105722506230609,5.993961427306569,3610,,1,,,,,,,0,1,0,0,1,3.5,,,1
6394,-0.18037307124507507,-0.5138848274453611,5.993961427306569,18322676,,1,,,,,,,0,0,0,0,1,3.1,,,1
6395,-0.18037307124507507,0.038558890076087156,5.993961427306569,9421,,1,,,,,,,0,0,0,0,1,3.4,,,1
6396,-0.18037307124507507,0.8883387591430875,5.993961427306569,3611,,1,,,,,,,0,1,0,0,1,3.6,,,1
6397,-0.18037307124507507,-0.029104413997371705,5.993961427306569,311511,,1,,,,,,,0,1,0,0,1,2.8,,,1
